eRT,Store,RPC,ProductName,Category,Brand,Segment1,Segment2,Segment3,Segment4,Segment5,Segment6,First POS date,Last POS date,Pantry_flg,Unset_flg,Memo
Lohaco,Lohaco,A555989,アリエール イオンパワージェル サイエンスプラス 詰め替え 超特大 1.26kg 1セット（2個入） 洗濯洗剤 液体 P&G,Detergent,Ariel,Liquid,Ion Power Gell,Refill,Refillx3,Case,2p,2017-10-08,2018-02-28,,,
Lohaco,Lohaco,A555990,アリエール イオンパワージェル サイエンスプラス 詰め替え 超特大 1.26kg 1ケース（6個入） 洗濯洗剤 液体 P&G,Detergent,Ariel,Liquid,Ion Power Gell,Refill,Refillx3,Case,6p,2017-10-09,2018-02-28,,,
Lohaco,Lohaco,A555991,アリエール リビングドライ イオンパワージェル 詰め替え 超特大 1.26kg 1セット（2個入） 洗濯洗剤 液体 P&G,Detergent,Ariel,Liquid,Living dry,Refill,Refillx3,Case,2p,2017-10-07,2018-02-28,,,
Lohaco,Lohaco,A555992,アリエール リビングドライ イオンパワージェル 詰め替え 超特大 1.26kg 1ケース（6個入） 洗濯洗剤 液体 P&G,Detergent,Ariel,Liquid,Living dry,Refill,Refillx3,Case,6p,2017-10-06,2018-02-28,,,
Lohaco,Lohaco,A555993,レノア本格消臭 リラックスアロマ 詰め替え 超特大増量 1540ml 1セット（2個入） 柔軟剤 P＆G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,2p,2017-10-08,2018-02-22,,,
Lohaco,Lohaco,A555994,レノア本格消臭 リラックスアロマ 詰め替え 超特大増量 1540ml 1ケース（6個入） 柔軟剤 P＆G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,6p,2017-10-07,2018-02-01,,,
Lohaco,Lohaco,A555995,レノア本格消臭スポーツ スプラッシュリリー 詰め替え 超特大増量 1450ml 1セット（2個入） 柔軟剤 P＆G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,2p,2017-10-06,2018-01-06,,,
Lohaco,Lohaco,A555996,レノア本格消臭スポーツ スプラッシュリリー 詰め替え 超特大増量 1450ml 1ケース（6個入） 柔軟剤 P＆G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,6p,2017-10-08,2018-01-05,,,
Lohaco,Lohaco,A596575,アリエール イオンパワージェルサイエンスプラス 本体 910g P＆G,Detergent,Ariel,Liquid,Ion Power Gell,Bottle,,Single,,2017-10-17,2018-02-28,,,
Lohaco,Lohaco,A596576,アリエール イオンパワージェルサイエンスプラス 詰替え超ジャンボ1.62kg 1個 P＆G,Detergent,Ariel,Liquid,Ion Power Gell,Refill,Refillx4,Single,,2017-10-20,2018-02-28,,,
Lohaco,Lohaco,A597368,【アウトレット】h&s for men ボリュームアップ シャンプー 詰替 1セット（340ml×2） P&G,Hair Care,h&s,h&s for men,SP,Volume-Up,Refill,Refillx1,,2017-11-02,2018-01-07,,,
Lohaco,Lohaco,A597369,【アウトレット】h&s for men ボリュームアップ コンディショナー 詰替 1セット（340g×2） P&G,Hair Care,h&s,h&s for men,CD,Volume-Up,Refill,Refillx1,,2017-11-02,2018-02-28,,,
Lohaco,Lohaco,A597370,【アウトレット】h&s for men スカルプEX シャンプー 詰替 1セット（340ml×2） P&G,Hair Care,h&s,h&s for men,SP,Scalp,Refill,Refillx1,,2017-11-02,2018-01-03,,,
Lohaco,Lohaco,A597371,【アウトレット】h&s for men スカルプEX コンディショナー 詰替 1セット（340g×2） P&G,Hair Care,h&s,h&s for men,CD,Scalp,Refill,Refillx1,,2017-11-03,2018-02-28,,,
Lohaco,Lohaco,A599848,アリエール イオンパワージェルサイエンスプラス 詰替え超ジャンボ1.62kg 1セット（2個入） P＆G,Detergent,Ariel,Liquid,Ion Power Gell,Refill,Refillx4,Case,2p,2017-10-20,2018-02-28,,,
Lohaco,Lohaco,A599849,アリエール イオンパワージェルサイエンスプラス 詰替え超ジャンボ1.62kg 1ケース（6個入） P＆G,Detergent,Ariel,Liquid,Ion Power Gell,Refill,Refillx4,Case,6p,2017-10-18,2018-02-28,,,
Lohaco,Lohaco,A600549,【アウトレット】P＆G パンパース ふわふわシート 詰替 1セット（378枚：126枚×3パック）,Baby Care,Pampers,Wipe,,,,,Case,2017-11-01,2018-02-28,,,
Lohaco,Lohaco,A601555,【いい買物の日】パンテーン　エクストラダメージケア　シャンプー　詰め替え　超特大　2L　P&G,Hair Care,Pantene,Pantene,SP,Extra Damage Care,Refill,Refillx6,,2017-11-05,2017-11-12,,,
